oldname,species,island,site.lot,oldID,FinalNames,scannedby
eschariferus ventrosus,ventrosus,SF,SF04-2,CEPeschariferus ventrosus@@@8X1105(1-12) copy 8.jpeg,CEPeschariferus ventrosus - 8X1105(1-12) copy 8.jpeg,CEP
eschariferus ventrosus,ventrosus,SF,SF04-2,CEPeschariferus ventrosus@@@8X1105(1-12) copy 9.jpeg,CEPeschariferus ventrosus - 8X1105(1-12) copy 9.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 10.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 10.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 11.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 11.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 12.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 12.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 13.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 13.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 14.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 14.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 15.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 15.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 16.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 16.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 17.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 17.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 18.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 18.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 19.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 19.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 20.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 20.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 21.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 21.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 22.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 22.jpeg,CEP
habeli,habeli,SL,SL05-01,CEPhabeli@@@SL05-0129X105(1-12) copy 23.jpeg,CEPhabeli - SL05-0129X105(1-12) copy 23.jpeg,CEP
